,outcode,rightmove_code
0,AB10,1
1,AB11,2
2,AB12,3
3,AB13,4
4,AB14,5
5,AB15,6
6,AB16,7
7,AB21,8
8,AB22,9
9,AB23,10
10,AB24,11
11,AB25,12
12,AB30,13
13,AB31,14
14,AB32,15
15,AB33,16
16,AB34,17
17,AB35,18
18,AB36,19
19,AB37,20
20,AB38,21
21,AB39,22
22,AB41,23
23,AB42,24
24,AB43,25
25,AB44,26
26,AB45,27
27,AB51,28
28,AB52,29
29,AB53,30
30,AB54,31
31,AB55,32
32,AB56,33
33,AB99,6066
34,AL1,34
35,AL10,35
36,AL2,36
37,AL3,37
38,AL4,38
39,AL5,39
40,AL6,40
41,AL7,41
42,AL8,42
43,AL9,43
44,B1,44
45,B10,45
46,B11,46
47,B12,47
48,B13,48
49,B14,49
50,B15,50
51,B16,51
52,B17,52
53,B18,53
54,B19,54
55,B2,55
56,B20,56
57,B21,57
58,B23,59
59,B24,60
60,B25,61
61,B26,62
62,B27,63
63,B28,64
64,B29,65
65,B3,66
66,B30,67
67,B31,68
68,B32,69
69,B33,70
70,B34,71
71,B35,72
72,B36,73
73,B37,74
74,B38,75
75,B4,76
76,B40,77
77,B42,78
78,B43,79
79,B44,80
80,B45,81
81,B46,82
82,B47,83
83,B48,84
84,B49,85
85,B5,86
86,B50,87
87,B6,88
88,B60,89
89,B61,90
90,B62,91
91,B63,92
92,B64,93
93,B65,94
94,B66,95
95,B67,96
96,B68,97
97,B69,98
98,B7,99
99,B70,100
100,B71,101
101,B72,102
102,B73,103
103,B74,104
104,B75,105
105,B76,106
106,B77,107
107,B78,108
108,B79,109
109,B8,110
110,B80,111
111,B9,112
112,B90,113
113,B91,114
114,B92,115
115,B93,116
116,B94,117
117,B95,118
118,B96,119
119,B97,120
120,B98,121
121,BA1,122
122,BA10,123
123,BA11,124
124,BA12,125
125,BA13,126
126,BA14,127
127,BA15,128
128,BA16,129
129,BA2,130
130,BA20,131
131,BA21,132
132,BA22,133
133,BA3,134
134,BA4,135
135,BA5,136
136,BA6,137
137,BA7,138
138,BA8,139
139,BA9,140
140,BB1,141
141,BB10,142
142,BB11,143
143,BB12,144
144,BB18,145
145,BB2,146
146,BB3,147
147,BB4,148
148,BB5,149
149,BB6,150
150,BB7,151
151,BB8,152
152,BB9,153
153,BB94,154
154,BD1,155
155,BD10,156
156,BD11,157
157,BD12,158
158,BD13,159
159,BD14,160
160,BD15,161
161,BD16,162
162,BD17,163
163,BD18,164
164,BD19,165
165,BD2,166
166,BD20,167
167,BD21,168
168,BD22,169
169,BD23,170
170,BD24,171
171,BD3,172
172,BD4,173
173,BD5,174
174,BD6,175
175,BD7,176
176,BD8,177
177,BD9,178
178,BD97,179
179,BD98,180
180,BD99,181
181,BH1,182
182,BH10,183
183,BH11,184
184,BH12,185
185,BH13,186
186,BH14,187
187,BH15,188
188,BH16,189
189,BH17,190
190,BH18,191
191,BH19,192
192,BH2,193
193,BH20,194
194,BH21,195
195,BH22,196
196,BH23,197
197,BH24,198
198,BH25,199
199,BH3,200
200,BH31,201
201,BH4,202
202,BH5,203
203,BH6,204
204,BH7,205
205,BH8,206
206,BH9,207
207,BL0,208
208,BL1,209
209,BL11,210
210,BL2,211
211,BL3,212
212,BL4,213
213,BL5,214
214,BL6,215
215,BL7,216
216,BL78,217
217,BL8,218
218,BL9,219
219,BN1,220
220,BN10,221
221,BN11,222
222,BN12,223
223,BN13,224
224,BN14,225
225,BN15,226
226,BN16,227
227,BN17,228
228,BN18,229
229,BN2,230
230,BN20,231
231,BN21,232
232,BN22,233
233,BN23,234
234,BN24,235
235,BN25,236
236,BN26,237
237,BN27,238
238,BN3,239
239,BN41,240
240,BN42,241
241,BN43,242
242,BN44,243
243,BN45,244
244,BN5,245
245,BN50,6011
246,BN52,6017
247,BN6,246
248,BN7,247
249,BN8,248
250,BN88,2922
251,BN9,249
252,BN99,250
253,BR1,251
254,BR2,252
255,BR3,253
256,BR4,254
257,BR5,255
258,BR6,256
259,BR7,257
260,BR8,258
261,BS1,259
262,BS10,260
263,BS11,261
264,BS13,262
265,BS14,263
266,BS15,264
267,BS16,265
268,BS2,266
269,BS20,267
270,BS21,268
271,BS22,269
272,BS23,270
273,BS24,271
274,BS25,272
275,BS26,273
276,BS27,274
277,BS28,275
278,BS29,276
279,BS3,277
280,BS30,278
